attendance_id,employee_id,attendance_date,check_in_time,check_out_time,updated_by,updated_at
1001,32508,10-05-2025,09:00:00,17:15:00,admin2,10-05-2025 19:00
1002,32435,23-05-2025,09:10:00,17:20:00,admin3,23-05-2025 19:00
1003,32704,02-06-2025,08:10:00,16:10:00,hr_user,02-06-2025 19:00
1004,33964,14-05-2025,08:30:00,16:45:00,admin3,14-05-2025 18:00
1005,30245,23-01-2025,08:10:00,16:25:00,admin2,23-01-2025 19:00
1006,31370,18-01-2025,00:00:00,00:00:00,admin3,18-01-2025 19:00
1007,33152,14-06-2025,08:05:00,16:15:00,hr_user,14-06-2025 18:00
1008,32051,16-02-2025,10:00:00,18:10:00,admin1,16-02-2025 18:00
1009,30282,02-05-2025,09:30:00,17:45:00,admin2,02-05-2025 18:00
1010,32777,11-01-2025,09:20:00,17:20:00,admin1,11-01-2025 17:00
1011,31860,29-01-2025,09:15:00,17:20:00,admin1,29-01-2025 17:00
1012,32406,29-04-2025,00:00:00,00:00:00,admin1,29-04-2025 17:00
1013,30616,05-02-2025,09:10:00,17:20:00,admin2,05-02-2025 19:00
1014,31650,13-03-2025,08:20:00,16:35:00,admin1,13-03-2025 19:00
1015,32672,31-01-2025,,,admin1,31-01-2025 17:00
1016,31866,22-06-2025,00:00:00,00:00:00,admin2,22-06-2025 17:00
1017,32336,28-04-2025,08:05:00,16:10:00,admin3,28-04-2025 17:00
1018,32076,16-06-2025,08:20:00,16:25:00,admin2,16-06-2025 17:00
1019,31698,08-01-2025,10:00:00,18:10:00,admin3,08-01-2025 17:00
1020,33335,08-05-2025,08:20:00,16:25:00,admin3,08-05-2025 17:00
1021,31166,14-01-2025,10:20:00,18:35:00,admin1,14-01-2025 18:00
1022,32715,12-03-2025,08:10:00,16:20:00,admin1,12-03-2025 18:00
1023,30989,12-01-2025,08:10:00,16:15:00,hr_user,12-01-2025 17:00
1024,33259,25-04-2025,09:20:00,17:20:00,admin1,25-04-2025 17:00
1025,31100,26-05-2025,10:20:00,18:20:00,hr_user,26-05-2025 17:00
1026,31351,19-04-2025,09:05:00,17:15:00,admin2,19-04-2025 18:00
