ot_id,employee_id,ot_date,hours_worked,approved_by
201,31594,02-05-2025,3.1,lead_hr
202,30387,19-06-2024,1,admin2
203,33259,11-05-2025,5.4,admin2
204,32745,06-07-2023,2.9,lead_hr
205,30461,26-08-2023,5.7,hr_user
206,31968,12-04-2025,1.2,admin1
207,33218,13-08-2023,1.3,hr_user
208,30264,03-04-2023,4.7,manager_hr
209,33115,09-07-2024,5.8,lead_hr
210,31892,10-07-2024,3.4,manager_hr
211,33118,07-04-2024,3.6,manager_hr
212,31305,30-08-2024,2.1,lead_hr
213,33657,14-06-2023,1,lead_hr
214,31223,31-07-2024,2.2,hr_user
215,32641,06-10-2024,2.8,admin2
216,33560,01-06-2024,5,manager_hr
217,31786,09-08-2023,2.1,lead_hr
218,33392,21-01-2023,4.3,lead_hr
219,30916,16-02-2025,5,hr_user
220,30686,16-11-2023,3.6,lead_hr
221,30701,31-07-2024,2.5,lead_hr
222,31220,26-02-2023,4.5,manager_hr
223,31963,26-01-2025,2.3,hr_user
224,32698,04-09-2023,2.4,hr_user
225,33943,24-01-2024,5.8,hr_user
226,30929,30-01-2023,2.6,manager_hr
227,30647,24-01-2025,5.2,admin1
228,31186,04-12-2024,1.8,manager_hr
229,30115,24-12-2023,2.6,admin1
230,33471,08-11-2023,1.8,admin2
231,30013,24-06-2023,1.6,lead_hr
232,31095,16-08-2024,2.2,lead_hr
233,33753,25-01-2023,2.3,admin2
234,30453,09-10-2024,4.9,hr_user
235,31750,20-03-2025,2.3,manager_hr
236,31886,11-02-2025,2.6,admin2
237,33657,12-06-2024,3.8,lead_hr
238,33398,28-04-2024,4.8,lead_hr
239,30188,03-10-2024,4.5,lead_hr
240,30995,13-04-2023,3,lead_hr
241,33545,21-04-2023,5.1,hr_user
242,32451,11-11-2024,3.2,hr_user
243,30647,28-09-2023,5.3,admin1
244,30708,25-03-2025,1.5,hr_user
245,33410,29-12-2024,5.3,admin1
246,30551,31-05-2023,1.2,admin1
247,30811,10-12-2024,5.8,admin1
248,32589,03-09-2024,4.4,admin1
249,32218,01-09-2024,5.6,lead_hr
250,33066,26-06-2023,1.7,lead_hr
251,30241,20-07-2024,3.6,lead_hr
252,33876,20-08-2024,5.3,hr_user
253,32558,30-08-2023,5.2,admin1
254,30206,01-04-2025,1.6,admin2
255,33993,13-03-2023,2.2,hr_user
256,30689,21-11-2024,3.6,lead_hr
257,31043,11-04-2024,2.4,manager_hr
258,31331,30-07-2024,4.3,lead_hr
259,32002,06-09-2023,1.4,hr_user
260,33362,05-01-2024,4.1,admin1
261,31967,05-08-2024,3.3,lead_hr
262,30885,29-10-2023,1.6,manager_hr
263,32526,18-04-2024,6,admin1
264,31444,29-03-2023,5.6,lead_hr
265,33770,16-01-2025,5.2,admin2
266,32607,27-09-2024,2.9,admin2
267,33713,13-01-2024,6,manager_hr
268,30663,04-04-2025,1.7,admin2
269,32063,02-04-2025,5.7,manager_hr
270,32764,14-09-2023,5.7,admin1
271,30621,14-04-2024,5.8,admin2
272,32092,05-11-2023,3.6,admin1
273,31512,14-12-2024,5.4,lead_hr
274,33858,24-06-2024,2.3,hr_user
275,32255,08-05-2023,3.4,lead_hr
276,33405,07-11-2024,4.8,admin2
277,30411,03-08-2024,4.3,manager_hr
278,32300,25-03-2025,1.3,hr_user
279,30522,24-04-2024,5.8,lead_hr
280,33636,01-09-2024,2,admin2
281,33402,23-03-2025,4.4,manager_hr
282,33832,29-01-2023,2,lead_hr
283,30973,05-03-2024,3.1,manager_hr
284,31061,11-09-2023,2.5,admin2
285,30354,09-10-2024,3.8,manager_hr
286,30865,27-06-2023,2.5,lead_hr
287,30361,26-04-2025,3.7,hr_user
